topic,termWordsStr,termWeightsStr
8,"thir,ilse,sagte,onnen,–,thy,heav’n,th’,»ich,dr.","2.67644286777274E-4,1.7849003882442125E-4,1.4382864138378894E-4,1.3702642189392217E-4,1.2567964244232217E-4,1.0312436661303665E-4,9.323573556846735E-5,9.130390472537608E-5,9.020703100417061E-5,8.518962723880658E-5"
9,"‘t,zee,maor,ie,as,veur,daor,gwynplaine,zoo,jaaije","6.089646633194403E-4,2.3556811476421237E-4,2.2858495528540692E-4,2.2173557758745476E-4,2.195960764637018E-4,1.841010000457119E-4,1.5309960121445183E-4,1.5015814740105708E-4,1.5007447404862367E-4,1.333398069642464E-4"
